top100,county_name,city,province,year,registered_pop_10k,gdp_10k,savings_10k,fiscal_rev_10k,fiscal_exp_10k,primary_industry_va_10k,secondary_industry_va_10k,tertiary_industry_va_10k,loans_10k,GDP,lngdp,cz,jr,cy
1,东台市,盐城市,江苏省,2010,113.36,3815400,2292400,261800,399007,633700,1750700,1431000,1772600,33657.37474,10.42398747,0.65612884,1.065419091,0.458850972
0,东海县,连云港市,江苏省,2010,115.1,2001400,866863,180157,319384,411000,912100,678300,872835,17388.35795,9.763556178,0.564076472,0.869240532,0.455730988
0,丰县,徐州市,江苏省,2010,116.49,1501800,924204,128866,276883,340100,675700,486000,638501,12892.09374,9.464369514,0.465416801,1.040554668,0.449926755
1,丹阳市,镇江市,江苏省,2010,80.88,6076674,2806171,300016,351088,319125,3451900,2305649,4137955,75131.97329,11.22700149,0.854532197,1.142751117,0.56805746
1,仪征市,扬州市,江苏省,2010,56.52,2807000,1363619,192235,206594,151300,1686300,969400,1279571,49663.83581,10.8130323,0.930496529,0.941642323,0.60074813
0,六合区,南京市,江苏省,2010,88.8,5759900,2545200,336085,414320,325500,4135200,1299100,3050000,64863.73874,11.08004402,0.811172524,0.971405754,0.717929131
0,兴化市,泰州市,江苏省,2010,156.12,3871100,2069359,211266,414440,645100,1730200,1495800,1989714,24795.67,10.11842432,0.509762571,1.048558033,0.446953062
0,句容市,镇江市,江苏省,2010,58.48,2430900,1243440,145800,234706,236100,1341300,853500,1351077,41568.05746,10.6350873,0.621202696,1.06730717,0.551770949
1,启东市,南通市,江苏省,2010,112.05,4300395,3530655,312558,341138,544900,2299798,1455686,2796127,38379.25033,10.55527224,0.916221588,1.471209505,0.534787618
1,吴江区,苏州市,江苏省,2010,79.96,10033900,5155580,902828,840293,270430,6051000,3712500,10165391,125486.4932,11.73995341,1.07442047,1.526920838,0.603055641
0,响水县,盐城市,江苏省,2010,61.33,1351981,447800,108005,184594,294400,648700,408881,652100,22044.36654,10.00081236,0.585094857,0.813546936,0.479814435
1,大丰区,盐城市,江苏省,2010,72.54,2935800,1433500,206686,311737,521700,1286300,1127800,1312000,40471.46402,10.60835241,0.663014015,0.935179508,0.438142925
1,太仓市,苏州市,江苏省,2010,46.89,7303200,2936656,700006,657889,269800,4189600,2843800,6427116,155751.7594,11.95601873,1.064018398,1.282146456,0.573666338
1,如东县,南通市,江苏省,2010,104.84,3523571,2506373,190398,348117,451000,1882513,1190081,1795812,33609.03281,10.42255014,0.546936806,1.220972985,0.534262826
0,如皋市,南通市,江苏省,2010,141.21,4309975,3158452,336880,474512,413500,2448488,1448021,2343747,30521.74067,10.32619452,0.709950433,1.276619702,0.568097959
0,姜堰区,泰州市,江苏省,2010,79.38,3067600,2019365,176013,253958,249100,1652800,1165700,2257272,38644.49483,10.56215961,0.693079171,1.394131243,0.538792541
1,宜兴市,无锡市,江苏省,2010,107.24,8058200,5036441,580218,599126,363200,4471600,3223400,8048150,75141.73816,11.22713145,0.968440695,1.623761014,0.554913008
0,宝应县,扬州市,江苏省,2010,91.38,2428600,1262557,156802,263583,431700,1165800,831100,1164201,26576.93149,10.18779888,0.59488662,0.999241538,0.480029647
0,射阳县,盐城市,江苏省,2010,97.49,2446700,1065200,147500,275540,553700,997000,896000,1128300,25096.93302,10.13050093,0.535312477,0.896513671,0.407487636
1,常熟市,苏州市,江苏省,2010,106.69,14536125,7563040,1000864,953904,294020,8158912,6083193,11283751,136246.368,11.82222006,1.049229273,1.296548496,0.561285212
0,建湖县,盐城市,江苏省,2010,80.89,2459700,1187000,200366,309810,358000,1159329,942400,1122800,30407.96143,10.32245974,0.646738323,0.939057609,0.47132943
1,张家港市,苏州市,江苏省,2010,90.51,16035100,5970374,1160618,1140706,219400,9747500,6068200,11801723,177163.8493,12.08483029,1.017455856,1.108324675,0.607885202
0,扬中市,镇江市,江苏省,2010,27.82,2469900,1506839,147465,168376,82100,1452300,935500,1690412,88781.45219,11.39393304,0.875807716,1.294486012,0.587999514
0,新沂市,徐州市,江苏省,2010,104.01,2411950,710413,175834,303498,360900,1033000,1018050,1067845,23189.59715,10.05145906,0.579358019,0.737269844,0.428284168
1,昆山市,苏州市,江苏省,2010,71.13,21002800,6092794,1631331,1387647,194023,13458617,7350206,13215913,295273.443,12.59565713,1.175609503,0.919339659,0.640801084
0,武进区,常州市,江苏省,2010,100.29,11639000,5684400,851900,715816,369800,7443600,3825600,8469400,116053.445,11.6618061,1.190110308,1.216066672,0.639539479
0,江宁区,南京市,江苏省,2010,93.6,6785766,3167000,903000,837788,321252,4075950,2388516,5341400,72497.5,11.19130736,1.077838308,1.253859918,0.600661738
1,江都区,扬州市,江苏省,2010,106.65,4888800,3135618,268530,329191,367200,2758600,1763000,2480635,45839.66245,10.73290499,0.81572704,1.14879991,0.56426935
1,江阴市,无锡市,江苏省,2010,120.71,20009200,6526236,1307186,1158983,362600,11842300,7804300,14607627,165762.5715,12.01831175,1.127873317,1.056207295,0.591842752
0,沛县,徐州市,江苏省,2010,127.94,3016000,1439169,212441,360103,500000,1442300,1073700,706312,23573.5501,10.0678806,0.589945099,0.711366379,0.47821618
0,沭阳县,宿迁市,江苏省,2010,183.06,3084900,1268508,262599,476818,573300,1357400,1154200,1473107,16851.85185,9.732215832,0.550732145,0.888720866,0.440014263
0,泗洪县,宿迁市,江苏省,2010,101.71,1810000,732285,132628,297481,413000,733100,663900,1038592,17795.69364,9.786711777,0.445836877,0.978385083,0.405027624
0,泗阳县,宿迁市,江苏省,2010,101.73,1922000,807631,125065,274495,372100,922600,627300,1007600,18893.14853,9.846554624,0.455618499,0.944449011,0.480020812
1,泰兴市,泰州市,江苏省,2010,119.62,4075800,2181126,227256,353166,336600,2244500,1494700,1846976,34072.89751,10.43625755,0.643482102,0.988297267,0.550689435
0,洪泽区,淮安市,江苏省,2010,38.08,1051500,371569,106602,182910,186100,460800,404600,565152,27612.92017,10.22603906,0.582811219,0.890842606,0.438231098
0,浦口区,南京市,江苏省,2010,56.45,3691000,1593300,462400,428947,233900,2076600,1380600,2650000,65385.29672,11.08805269,1.077988656,1.149634245,0.562611758
1,海安市,南通市,江苏省,2010,93.42,3555718,3064758,205188,333728,382500,1932590,1240591,2922173,38061.63562,10.54696211,0.614836034,1.683747418,0.543516106
